"","PN07018NM","PN07020NM","PN07021NM","PN07022NM","PN07023NM","PN07024NM","PN07025NM","PN07026NM","PN07027NM","PN07028NM","PN07029NM","PN07030NM","PN07031NM","PN07033NM","PN07035NM","PN07036NM","PN07037NM","PN07051NM","PN07053NM","PN07054NM","PN07055NM","PN07056NM","PN07057NM","PN07058NM","PN07059NM","PN07060NM","PN07061NM","PN07062NM","PN07063NM","PN07064NM","PN07066NM","PN07068NM","PN07069NM","PN07070NM","PN07084NM","PN07086NM","PN07087NM","PN07088NM","PN07089NM","PN07090NM","PN07091NM","PN07092NM","PN07093NM","PN07094NM","PN07095NM","PN07096NM","PN07097NM","PN07099NM","PN07101NM","PN07102NM","PN07103NM","PN07117NM","PN07119NM","PN07120NM","PN07121NM","PN07122NM","PN07123NM","PN07124NM","PN07125NM","PN07126NM","PN07127NM","PN07128NM","PN07129NM","PN07130NM","PN07132NM","PN07134NM","PN07135NM","PN07136NM","PN07183NM","PN07185NM","PN07186NM","PN07187NM","PN07188NM","PN07189NM","PN07190NM","PN07191NM","PN07192NM","PN07193NM","PN07194NM","PN07195NM","PN07196NM","PN07198NM","PN07200NM","PN07201NM","PN07202NM"
"","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Empresas Bancarias (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Interbank (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Citibank (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Scotiabank Perú S.A.A (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Continental (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Comercio (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Financiero (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Interamericano (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Mi Banco (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - GNB Perú (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Falabella Perú S.A. (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Ripley (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Santander Perú S.A. (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Azteca (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - ICBC Perú (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - Nación (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Fondos de encaje - Total - COFIDE (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Empresas Bancarias (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Interbank (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Citibank (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Scotiabank Perú S.A.A (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Continental (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Comercio (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Financiero (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Interamericano (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Mi Banco (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - GNB Perú (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Falabella Perú S.A. (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Ripley (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Santander Perú S.A. (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Azteca (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - ICBC Perú (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - Nación (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Exigible - COFIDE (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Empresas Bancarias (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Interbank (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Citibank (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Scotiabank Perú S.A.A (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Continental (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Comercio (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Financiero (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Interamericano (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Mi Banco (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - GNB Perú (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Falabella Perú S.A. (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Ripley (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Santander Perú S.A. (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Azteca (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - ICBC Perú (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - Nación (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Superávit - Déficit - COFIDE (miles S/)","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Empresas Bancarias","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Interbank","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Citibank","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Scotiabank Perú S.A.A","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Continental","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Comercio","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Financiero","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Interamericano","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Mi Banco","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - GNB Perú","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Falabella Perú S.A.","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Ripley","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Santander Perú S.A.","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Azteca","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - ICBC Perú","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - Nación","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Encaje exigible - Encaje Exigible / TOSE (%) - COFIDE","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Empresas Bancarias","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Interbank","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Citibank","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Scotiabank Perú S.A.A","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Continental","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Comercio","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Financiero","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Interamericano","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Mi Banco","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - GNB Perú","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Falabella Perú S.A.","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Ripley","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Santander Perú S.A.","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Azteca","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - ICBC Perú","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - Nación","Encaje, depósitos overnight y liquidez por institución en MN - empresas bancarias - Ratio de liquidez promedio (%) - COFIDE"
Ene14,12845725.4475655,1567275.1480671,305106.372402903,1577759.45980161,2820450.17684226,146651.84214,402477.985583226,398098.293896774,452651.321245161,236221.100727097,316783.633448065,114231.628664194,104226.084315484,154208.804831936,n.d.,2799221.04138774,7377.77646935484,12715649.5578143,1565083.68400047,294264.500708929,1556853.27078265,2797209.03112149,146199.951973871,401914.744052252,385096.089054329,448624.064491219,233065.371094658,312419.527193652,112901.5356868,102316.245585897,133388.996963961,n.d.,2784439.59392665,6018.69698712258,130075.889751222,2191.46406662584,10841.8716939742,20906.1890189682,23241.1457207702,451.890166129018,563.241530974107,13002.204842445,4027.25675394199,3155.72963243859,4364.1062544128,1330.09297739355,1909.83872958708,20819.8078679742,n.d.,14781.4474610899,1359.07948223226,14,14,14,14,14,14,14,14,14,14,14,14,14,14,n.d.,14,14,30.8256402667772,26.954579868734,29.7653309938787,24.8049589577917,28.788792989435,35.80898478844,27.9571646110444,24.4328096032186,37.0746184983503,22.4551700083632,49.3866205705951,50.6632464960554,25.4626270881438,58.1683953665264,n.d.,79.3222605674287,n.d.
Feb14,11781820.1238314,1456761.34610107,264202.719226429,1453047.08873643,2617752.18580393,136430.610502143,376273.158846786,378111.340806429,410655.645928214,228527.6849,281997.127980357,102894.845977857,81970.1415460714,145954.193052143,n.d.,2648336.94098286,6514.97404214286,11635549.8942776,1450570.43155858,262703.369320507,1436106.37400365,2595760.60827195,135714.555716954,375582.717728911,350267.490960539,407651.494861371,225754.559307364,278731.7888511,102348.883346496,79304.8583389214,125085.860365793,n.d.,2627940.24912974,6513,146270.229553805,6190.91454249272,1499.3499059215,16940.7147327817,21991.5775319751,716.054785189336,690.441117874993,27843.8498458894,3004.15106684295,2773.12559263568,3265.33912925704,545.96263136068,2665.28320714997,20868.33268635,n.d.,20396.6918531145,1.97404214285962,13,13,13,13,13,13,13,13,13,13,13,13,13,13,n.d.,13,13,29.5465152134396,25.869671957462,22.1429581061404,23.1177303102476,26.7377095068917,34.3946502678086,25.2207783028222,21.0048826984484,36.9755831497639,22.7976686648049,48.8529283143277,55.1910753780495,28.9040960042466,77.6899133835274,n.d.,78.9479233014039,n.d.
Mar14,11498825.2868561,1441232.07339516,246592.675144193,1457753.95152355,2502785.44889839,130446.945835806,356097.581009355,355980.015334839,390607.524232258,219062.406129355,278703.049020968,99248.1379316129,72017.1282680645,138590.174802581,207.466148709677,2556927.9708271,7406.27234677419,11358712.7011661,1435872.08103653,243993.03169121,1436307.79706262,2478671.85012263,129951.35686375,355656.985482379,340021.696202621,387568.909595887,216784.532460403,275471.314988548,98972.4095003629,71013.0373502823,120962.13074129,16.777583266129,2541542.49224657,6693.30680330645,140112.585689994,5359.99235862935,2599.64345298375,21446.1544609275,24113.5987757593,495.588972056412,440.595526975812,15958.3191322177,3038.61463637094,2277.87366895166,3231.73403241937,275.72843125004,1004.09091778223,17628.0440612904,190.688565443548,15385.4785805245,712.965543467746,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,28.4365208416326,24.9242308517011,28.1897156526533,20.9354418323172,22.9457742857148,33.4611791417179,24.9314717651689,20.1321558297972,36.626302211489,20.4790920560446,50.1402148545866,52.9536250845482,26.3035436589833,76.5561730908103,16450.9578657313,79.7597687885938,n.d.
Abr14,11069213.4705467,1381093.105648,232573.868469667,1368485.94940267,2485062.49507933,123402.125976333,342785.788575333,342407.366173333,381162.986924667,218359.530396,270352.887634,92976.8066173333,72964.1974333333,133046.078113333,239.190703666667,2418201.44707,7928.585138,10953455.1338669,1378262.1518392,227203.16840204,1344804.62295992,2457774.65017182,122720.2015176,342266.7008802,327259.13494576,377506.48049948,215794.38976156,266727.19177488,92901.51281276,72197.37440488,117590.06440172,14.61368644,2402359.63115632,7798.25982424,115758.336679768,2830.95380880016,5370.7000676266,23681.3264427471,27287.8449075142,681.924458733374,519.087695133324,15148.2312275733,3656.50642518673,2565.14063443995,3625.69585912018,75.2938045733269,766.823028453337,15456.0137116133,224.577017226667,15841.8159136796,130.32531376,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,27.6462314096943,23.833350662073,19.8769741056269,19.9354051344527,24.3802326035886,33.0876197902045,25.445707202821,19.2793416336882,37.9138489256605,22.4421242536523,52.3792491267064,49.9030293319473,23.3227211788927,77.6122074417483,13652.2139335872,76.4731038660438,n.d.
May14,11070839.6824819,1388057.63567806,230586.735045807,1370996.48508871,2446023.63644258,124106.552605161,348678.94398,351483.014935161,391719.748853226,226542.58444871,268806.296834516,98118.0277719355,71734.5367829032,133635.719319032,265.374913548387,2427615.59513774,8658.80281548387,10960849.5310585,1385210.43136947,229035.041133832,1359135.80581846,2412361.23671576,123105.759308787,347843.644953368,333940.55786249,389001.071584297,223787.602674464,264989.6519052,97919.8015098194,70078.4104055226,118797.6755136,17.3863088516129,2412898.75190114,8444.50360873548,109990.151423401,2847.20430859377,1551.69391197424,11860.679270245,33662.3997268194,1000.79329637422,835.299026632305,17542.4570726711,2718.67726892895,2754.98177424517,3816.64492931627,198.226262116115,1656.12637738065,14838.0438054322,247.988604696774,14716.8432366058,214.299206748385,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,28.7522330798934,21.9482078340525,31.2124734391045,25.2011187410488,25.0405197347155,36.6273795011527,27.3140603229409,20.3350641326068,41.2355695739781,24.5585876103863,49.926259036016,49.2271718491151,32.061509195053,79.1663386340758,14657.9640841718,76.3819770787912,n.d.
Jun14,11325916.871055,1418836.21605533,218282.386905,1383171.175315,2545018.74202,122513.542030667,351249.935917333,359245.983240667,381657.425010667,237928.531729333,286370.196836333,96714.4171666667,80954.6421603333,135977.807288,416.668957666667,2411896.84316,9708.435184,11234431.4135073,1415051.886932,216975.4156692,1372608.79026148,2522385.92905939,122045.77366804,350832.76904108,342876.8468752,378443.37069956,235388.10942532,281319.506827,96180.82745172,79715.36886676,120596.1782848,255.47172028,2397944.2043338,9300.77163752,91485.4575476497,3784.32912333325,1306.97123580003,10562.3850535201,22632.8129606108,467.768362626597,417.166876253274,16369.1363654665,3214.05431110664,2540.42230401337,5050.69000933314,533.589714946675,1239.2732935733,15381.6290032,161.197237386667,13952.6388262001,407.663546480004,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,29.7022157933244,22.8898535374707,36.0216874074686,23.2681597683379,26.1436809485685,38.9440654469935,27.6142333224401,21.8551859208594,39.6195451987598,27.7050586535733,49.296313080081,53.5346926725369,37.9628043522357,82.7070874850747,14747.9173737829,76.4790144355796,n.d.
Jul14,10963566.2666155,1380151.61067032,226251.44894,1276204.32723129,2442501.54263871,118678.270094516,320317.604413226,358964.602647097,348373.533980645,239399.921317097,271844.30918,92388.7422835484,77455.4887977419,129432.240103226,316.098019677419,2295667.14235226,9319.19752935484,10852848.7797779,1377387.15702023,225182.431816881,1262260.71825161,2412183.01452655,118326.555640479,319625.444837377,338892.371187934,345327.787138953,236800.151509418,270272.127406598,91329.4315297823,76218.7273776693,117663.475499466,196.144719529032,2282407.56049963,9132.62332671935,110717.486837578,2764.45365008863,1069.01712311939,13943.6089796776,30318.5281121593,351.714454037069,692.159575848388,20072.231459163,3045.74684169183,2599.769807679,1572.18177340174,1059.31075376613,1236.7614200726,11768.7646037597,119.953300148387,13259.5818526264,186.574202635487,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,28.1649824235874,24.6588389339221,28.3656094596615,22.986421089076,25.4979098891113,39.6697111481669,25.4510507977158,21.9977683474627,37.3864460438231,28.9875402609009,47.4589074297655,54.6860108696062,24.5881289651632,82.4731282371555,11718.4746144337,76.5002529934186,n.d.
Ago14,10887844.7694874,1324597.46241516,219052.795781935,1312912.15477548,2432483.62653806,117192.322373548,310951.46751129,349941.165991936,335578.788411936,232174.920901935,267872.696283548,88944.0064090322,95197.6467674194,129006.027026452,482.481996129032,2396936.70940452,10788.2294929032,10797953.9427687,1320468.33107735,217196.977170426,1300978.79997968,2415549.32804076,116979.052871185,310657.167067473,339157.912667813,333368.914231398,230016.823690845,263379.114334653,88419.724788421,93760.0609514516,118784.388918282,203.621737779032,2380709.30143424,10574.4763020452,89890.8267186738,4129.13133780685,1855.81861150965,11933.354795806,16934.2984973064,213.269502362935,294.300443817784,10783.2533241227,2209.87418053711,2158.09721109033,4493.58194889526,524.281620611257,1437.58581596779,10221.6381081693,278.86025835,16227.4079702803,213.753190858063,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,27.9079252160531,23.3354910639709,36.7082581251872,20.4730666242523,25.5139572036667,39.6824353461046,25.8330765091312,23.5857437062797,36.2826708062055,25.3610407273565,46.3310867038179,51.4243273207891,30.8105321293268,85.4875472880305,4377.76033067054,80.8257600943322,n.d.
Sep14,10399636.2735297,1241250.037758,212858.634551333,1299864.32755467,2295322.62722233,110590.510925667,294463.122511333,336672.23622,318466.509590333,221060.342007333,253553.524004667,88053.602476,101494.882687333,122284.922909667,526.785158,2298932.80933,10512.6130846667,10281990.9436007,1238439.13277671,210199.12673408,1281813.79776769,2271108.0005101,110350.57783926,294148.673380907,321506.92615745,315391.357052347,218615.262564307,248494.960177163,87261.2441573033,98717.2845268867,113179.87947552,320.883304903333,2286636.24988597,10338.1556671067,117645.329928984,2810.90498129342,2659.50781725332,18050.5297869766,24214.6267122308,239.9330864067,314.449130426571,15165.31006255,3075.15253798665,2445.07944302662,5058.56382750329,792.358318696703,2777.59816044668,9105.04343414671,205.901853096667,12296.5594440267,174.457417560001,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,26.6094798855673,21.303063715421,32.5817801503043,21.3881868651453,21.7692929491561,40.7093206440094,24.8440021435944,21.9924376029036,35.2678982263197,23.6463977683927,41.2522224359953,49.9545422070174,30.5975344754733,87.1011313999081,11682.1810083854,87.4424478885298,n.d.
