"","PN01366PM","PN01367PM","PN01368PM","PN01369PM","PN01370PM","PN01372PM","PN01373PM","PN01374PM","PN01375PM","PN01376PM","PN01377PM","PN01378PM","PN01379PM","PN01380PM","PN01381PM","PN01382PM"
"","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos Transables - Alimentos","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos Transables - Textil y Calzado","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos Transables - Combustibles","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos Transables - Aparatos Electrodomésticos","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos Transables - Otros Transables","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Alimentos","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Servicios Públicos","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Otros Servicios Personales","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Servicios de Salud","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Servicios de Transporte","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Servicios de Educación","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Comida Fuera del Hogar","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Alquileres","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Servicios - Otros Servicios","Índice de precios al consumidor Lima Metropolitana: clasificación transables - no transables (variación porcentual) - Productos No Transables - Otros No Transables"
Ene14,0.0788005704733427,0.27182731370638,1.44417141775853,-0.0536964488258834,0.381611576746977,1.60632137422792,-0.0229803959791689,-0.674810351548733,0.546215215987241,0.711588455653797,-0.741880507783901,0.0406670247231958,0.567620011005663,0.308980364796233,-0.0215872179829533,0.215041069981647
Feb14,0.34079415668566,0.204630112189889,0.827451613604309,-0.115546187564542,0.149546461493373,1.72620261186409,0.577576601923107,1.91503119104684,0.37768136527192,0.210629616263929,0.209931541550256,0.211382565560707,0.597645834683859,0.0894276629570548,0.21040810229507,0.179401106397058
Mar14,0.334947949463862,0.287256316133381,1.66412280405553,-0.0708897262374976,0.250537711479777,-0.611561016397835,0.905623545906954,0.248606601266145,0.178665991859085,0.0769986809009771,-0.0846275681340425,3.82931207668298,0.467947678177637,0.119130348456307,-0.0373665054783465,0.356041818312855
Abr14,0.785019493279576,0.0983110984501956,-0.505208416728715,0.31360582633896,0.331410954545116,0.906982122566102,0.285989710630452,0.786038184190152,0.0673123835589904,0.744478198700343,0.334738998731499,0,0.274634055578493,-0.00991571641055646,0.162944756116489,0.294639509689248
May14,0.44510322945544,0.335985596418554,-0.797829568226509,-0.380019675988142,0.355073884916071,0.510394634316666,0.128566927306087,0.183620001943646,0.0488503124501524,0.0701276734520927,-0.0382796865031227,0,0.30616284328859,0.347084490281589,0.101591167225364,0.174912013848756
Jun14,0.0005824908474312,0.173029082876254,-0.59887884500435,0.175785293045878,0.179859335033251,0.488842888831265,0.155896885623366,0.0777150161628413,0.215318410389506,0.470598292133505,0.0678016139977327,0.0312549477704761,0.357668995003861,0.177883190038614,-0.0122227601909741,0.095188250875079
Jul14,0.378662108829783,0.137930606495302,0.310258315644846,0.294010848596045,0.157303072846972,1.68454914366997,0.260129488882501,0.067969714714358,0.139022221054037,0.148918734891556,0.687327156319965,0.164037206052041,0.238390873768432,0.1578376245437,0.124195530701901,0.317027040172043
Ago14,0.202805112070573,-0.0197264161266941,-0.904752674414556,0.156472316288877,0.0575816747883686,0.0125865596271589,-0.189696837402806,-1.73587607135679,0.0970652070253279,0.130925029003522,-0.424051942961237,0.0311940123188837,0.431678893651043,0.305328474342618,0.175949420632427,0.0902322008348898
Sep14,0.135960122200258,0.073366067122549,-0.141850474340878,0.0528988065302478,0.1679395811517,0.495393114737423,0.11315320958714,-0.163331597374041,0.12283205688899,0.152386961960658,-0.00455760908053805,0.171513565791,0.274832299802592,0.333857030636313,0.0820508907997893,0.00898569565427208
